Abstract,DOI
understand prevalence associated risk factors lower extremity arterial disease lead chinese diabetic construct risk prediction model diabetes complications warning dataset china national population health science center used logistic regression employed identify related factors machine learning algorithms used construct risk prediction model population consisted 3000 476 159 lead multivariate regression indicated male gender atherosclerosis carotid artery stenosis fatty liver hematologic diseases endocrine disorders elevated glycosylated serum proteins independent risk factors lead risk prediction models constructed using logistic regression mlp algorithms achieved moderate discrimination performance aucs 073 072 respectively identified risk factors lead chinese diabetic constructed risk prediction model aid diagnosis lead,10.1371/journal.pone.0314862
backgroundobjective limited knowledge diet affects epigenome children ultraprocessed food upf consumption emerging important factor impacting health mechanisms need uncovered therefore aimed assess association upf consumption dna methylation children conducted metaanalysis epigenomewide association studies ewas total 3152 children aged 511 years four european studies helix generation xxi alspac generation upf consumption defined applying nova food classification system group dna methylation measured blood illumina infinium methylation arrays associations estimated within using robust linear regression models adjusting relevant covariates followed metaanalysis resulting ewas estimates although cpg significant fdr level found suggestive associations pvalue105 upf consumption methylation seven cpg sites three cg00339913 phyhip cg03041696 intergenic cg03999434 intergenic negatively associated whereas four cg14665028 nhej1 cg18968409 intergenic cg24730307 intergenic cg09709951 atf7 positively associated upf intake cpgs previously associated health carcinomas related genes mainly involved pathways related thyroid hormones liver function found suggestive changes methylation cpgs associated upf intake large ewas among children although shows potential impact upf intake dnam might key mechanism underlying health effects upfs children need detailed dietary assessment children studies studies assess potential epigenetic changes linked reduction upf diet,10.1186/s13148-024-01782-z
hepatitis virus hcv disproportionately affects certain subpopulations including people experience incarceration pwei little known perceptions hcv treatment changed despite simplifications testing treatment carceral settings nineteen semistructured interviews conducted people living history hcv infection released quebec provincial prison interviews guided common sense selfregulation model cssrm aimed explore cognitive emotional representations hcv coping strategies among seven diagnosed hcv prison previously received hcv treatment hcv illness perceptions influenced fear hcv transmission death wellbeing family stigma related hcv injection drug use incarceration sought education social professional support others selfisolated engaged highrisk behaviors cope despite advances hcv treatment pwei continue experience various forms stigma fear surrounding hcv diagnosis resulting delayed hcv care provide insights prisonbased healthcare providers better utilize hcv illness perceptions evaluate willingness engage hcv care among pwei,10.3390/v16121910
hepatitis virus hcv infection global health concern lead chronic liver disease hcv core antigen hcvcag viral protein essential replication offers costeffective alternative hcv rna testing particularly resourcelimited settings explores hcvcag key protein hepatitis virus examining structure function role viral life cycle also evaluates use diagnosis treatment monitoring comparing performance standard hcv rna assay using pubmed google scholar hcvcag assays show high pooled sensitivity 935 pooled specificity 992 compared hcv rna assays correlating closely 087 hcv rna levels hence hcvcag testing offers costeffective way diagnose active hcv infections monitor treatment especially resourcelimited settings sensitivity vary standardization needed hcvcag also predicts liver disease progression assesses liver damage risk aiding patient management helps identify risk fibrosis carcinoma making vital hepatitis care hcvcag testing expand access hcv care simplify management contribute global elimination strategies especially low middleincome countries,10.3390/v16121863
aflatoxin afb1 afb2 afg1 afg2 group human carcinogens afb1 notably increasing hepatocellular carcinoma hcc risk sichuan province china subtropical monsoon climate susceptible contamination various food items however hcc disease burden attributable lifetime chronic dietary intake sichuan investigated contamination afb1 afb2 afg1 afg2 afm1 across food categories analyzed 2012 2023 sichuan along consumption gathered 2011 china national nutrition health survey fdairisk simulated lifetime chronic dietary exposure patterns 5af estimated associated hcc burden using disabilityadjusted life year daly metric mean contamination level food sichuan estimated lifetime average daily dose ladd 5af intake 977 ngkg bwday minimum 260 ngkg bwday maximum resulting lifetime hcc risks per person 0106 0283 corresponding hcc burdens 1687 daly100000 peopleyear 4495 daly100000 peopleyear respectively scenario ladd risk hcc males higher females paf higher females however high p95 contamination level food caused times higher ladd hcc burden mean level occurrence among studied food categories grains products primary dietary sources dietary exposure sichuan populations lifetime exposure 5af hcc burden higher global level recommended continuously monitor control contamination sichuan particularly highly vulnerable food categories hcc disease burden remain concern future efforts,10.3390/nu16244381
earths rotation around axis pressured inhabitants adapt cycles day night humans adapted circadian rhythms earths rhythms lightaligned awakesleep cycle consequence metabolism undergoes drastic changes throughout circadian cycle needs plasticity cope opposing conditions day increase energy demands food availability night prolonged fasting couples cyclic changes energy demands across sleep stages last century human behavior changed dramatically disregard natural circadian cycles misalignment sleep eating schedules strongly modulates metabolism energy homeostasis favoring development obesity metabolic syndrome metabolic dysfunctionassociated steatotic liver disease masld summarizes effects circadian disruption particular focus feeding sleep cycles development masld hepatocellular carcinoma,10.3390/nu16244294
backgroundobjectives avoidance ultraprocessed foods upfs recommended achieve healthy diet whether applies equally upfs uncertain evaluated individual upf subgroups prediction cardiometabolic mental health brazilian longitudinal adult health elsabrasil occupational 15105 adults 3574 years recruited 20082010 followed 2018 ascertain elevated weight waist gains onset metabolic syndrome hypertension metabolic dysfunctionassociated steatotic liver disease diabetes common mental disorders depressive episodes anxiety disorders adjusted robust poisson regression greater overall upf intake baseline predicted studied various subgroups upf frequently processed meat sweetened beverages individually conferred greater risk nearly predicted least one studied considering subgroups broad pattern overall risk present subgroups individually predictive aggregated increased risk onestandard deviation change observed elevated weight 105 101111 waist 105 100110 gains incidence common mental 106 101112 anxiety 109 102116 disorders upfs overall subgroups predicted future cardiometabolic mental health pattern individual upf subgroup associations varied across aggregate subgroups individually predicting risk also predicted large gains overall central adiposity incidence mental health disorders additional studies investigating needed justify avoidance overall upf intake health promotion disease prevention,10.3390/nu16244291
development cocrystals crystal engineering viable strategy formulate poorly watersoluble active pharmaceutical ingredients stable crystalline solid forms enhanced bioavailability presents cocrystallization process cooling cocrystal ketoconazole antifungal class drug fumaric acid coformer successfully set following metastable zone width determination acetonewater pure ethanol considering optimal crystallization laboratory scaleup processes carried batch size efficiently delivering cocrystal high yields pure single phase revealed powder xray diffraction biological assays vitro showed improved viability oxidative damage cocrystal ketoconazole human dermal fibroblasts hepatocarcinoma cells vivo wistar rats cocrystal increased oral ketoconazole bioavailability transient minor biochemical transaminases increases without histological liver alterations locally balb mice induced epicutaneuous sensitization molecular docking conducted sterol 14demethylase cyp51 enzyme pathogenic yeast candida albicans revealed cocrystal interacts efficiently enzyme compared ketoconazole indicating coformer enhances binding affinity active ingredient,10.3390/ijms252413346
texas highest hcc rates united states greatest burden among hispanics racial ethnic disparities hcc incidence multiple underpinning factors conducted mediation examine role neighborhood disadvantage area deprivation index potential mediator association neighborhood race ethnicity distribution neighborhood hcc counts texas primary measure counts new hcc diagnoses per census tract based texas department state health services texas cancer registry primary exposure interest race ethnicitybased index concentration extremes nonhispanic black ice hispanic ice assessed area deprivation index potential mediator association blackhispanic ice hcc counts adjusted analyses selected census tract characteristics analyzed 4934 census tracts containing 13632 new hcc diagnoses reported texas cancer registry 2016 2020 racial minority blackhispanic iceconcentrated neighborhoods higher socioeconomic disadvantage mediation analyses showed compared nonhispanic whiteconcentrated census tracts nonhispanic blackconcentrated census tracts hispanicconcentrated census tracts higher counts hcc total effects adjusted count ratio 103 102104 adjusted count ratio 109 108110 respectively approximately neighborhoodlevel disparity hcc counts attributable neighborhood socioeconomic disadvantage black hispanic minoritized neighborhoods respectively neighborhood hcc counts varied neighborhood race ethnicity distribution variations partly explained neighborhood deprivation stronger effect among blackconcentrated census tracts,10.1097/HC9.0000000000000536
metabolic dysfunctionassociated steatotic liver disease masld severe subtype metabolic dysfunctionassociated steatohepatitis mash highly prevalent strongly associated obesity type diabetes t2d sought identify challenges diagnosis treatment management people living masld mash understand key barriers adopting relevant guidelines realworld crosssectional barriersmasld consisting quantitative survey qualitative interviews physicians france germany italy spain united kingdom conducted march september 2023 descriptive statistics used total 626 physicians completed survey n10 country participated qualitative interviews physicians considered presence mash highly impactful treated people living obesity t2d onethird respondents could identify mashspecific guidelines issued medical societies associations topofmind overall awareness rose prompted countryspecific guidelines physicians said would need evidence success guidelines address common masld comorbidities increase adoption found lack awareness around masld mash guidelines clearly established care pathways particularly addressing common comorbidities key factor preventing physicians optimising care people living mash europe highlights opportunities improve education training guidelines care coordination,10.1111/liv.16224
studies use social media increase recruitment accrual however empirical analyses focusing ethical aspects pertinent targeting vulnerable characteristics lacking explore expert patient perspectives vulnerability context social media recruitment seeks explore social media reduce amplify vulnerabilities part international consortium tests therapeutic vaccine hepatitis thervacb conducted qualitative interviews multidisciplinary experts social media recruitment fields public relations psychology ethics philosophy law social sciences ethical legal social challenges social media recruitment triangulated expert assessments perceptions hepatitis regarding social media usage attitudes relative diagnosis experts perceived social media recruitment beneficial reaching hardtoreach populations preserving patient privacy features may aggravate existing vulnerabilities acontextual point contact potential breaches user privacy biased algorithms disproportionately affecting disadvantaged groups technological barriers insufficient digital literacy skills restricted access relevant technology also several practical recommendations experts navigate triggering effects social media recruitment including transparent communication addressing algorithm bias privacy education multichannel recruitment using social media recruitment mitigate aggravate potential vulnerabilities researchers anticipate address outlined triggering effects within studys proactively define strategies overcome suggest practical recommendations achieve,10.2196/52448
risk prediction models identify individuals high risk chronic liver disease cld limited evidence performance various models diverse populations aimed systematically cld prediction models metaanalyze performance externally validate million chinese adults china kadoorie biobank ckb models identified categorized target population hepatocellular carcinoma hcc cld performance models predict 10year risk cld assessed discrimination cindex calibration observed predicted probabilies identified articles 114 models 284 undergone external validation including eligible validation ckb models high discrimination cindex070 ckb follows general population li2018 wen 12012 hcc clivd score nonlab lab daar cld hepatitis virus hbv infected individuals cao2021 hcc capb cld ckb models tended overestimate risk ratio 055094 metaanalysis identified models high discrimination general population cindex070 sinn2020 wen 22012 wen 32012 hcc fib4 forns cld hbv infected individuals cindex080 rwshcc reachb iia hcc gaghcc hcc cld several models showed good discrimination calibration external validation indicating potential feasibility risk stratification populationbased screening programs cld chinese adults,10.1186/s12916-024-03754-9
cancer one leading causes death children adolescents significant concentration low middleincome countries previous identified disparities cancer incidence mortality based countrys level development middle east north africa mena region comprises countries heterogeneous income development levels investigate whether discrepancies cancer incidence mortality among children adolescents exist countries within mena region cancer incidence mortality drawn global burden disease gbd 2019 malignant neoplasms including nonmelanoma skin cancers restricted children adolescents aged less years mortality toincidence ratios mir calculated proxy measure survival cancer type country spearmans correlation coefficient measured association sociodemographic index sdi incidence rates mortality rates mir 2019 cancer incidence mena region 482100000 population mortality rate 1165100000 population cancer incidence mortality higher among males compared females marked difference observed cancerrelated mortality rates lowincome highincome countries mir higher lowincome countries particularly males specific cancer types liver colon rectum brain central nervous system cns cancers nonhodgkin lymphoma among others negative correlation observed countrys sdi mir 0797 sdi mortality rates 0547 indicating higher sdi corresponds lower mir lower mortality rates highlight need evidencebased reduce cancerrelated mortality disease burden among children adolescents particularly lowincome countries within region cancer types highest mortality rates additionally efforts focus establishing registries provide uptodate national cancer incidence mortality countries within region,10.1186/s12889-024-21155-8
hepatocellular carcinoma hcc major public health concern thailand ranking leading cause cancerrelated mortality thai people aimed identify various risk factors hcc among treated national cancer institute nci thailand casecontrol conducted using secondary sources liver cancer prevention control project carried nci 2008 2010 total 200 cases diagnosed hcc 300 healthy controls included univariate multivariate logistic regression models used identify independent risk factors associated hcc development odds ratios ors confidence intervals cis estimated quantify strength associations showed mean ages cases controls 522±77 years 535±82 years respectively adjustment gender marital status education income multivariable logistic regression revealed statistically significant association hcc several factors included hepatitis virus infection 28116 hepatitis virus infection 11601 liver cirrhosis 157 39634 diabetes 1582 alcohol consumption 1759 smoking status 1249 contribute existing knowledge regarding risk factors hcc among thai people particularly highlighting emerging evidence associates diabetes hcc provided baseline information improving knowledge focused preventing hcc avoiding associated risk factors,10.31557/APJCP.2024.25.12.4169
costeffectiveness information preventive strategies mothertochild transmission mtct hepatitis virus hbv existed policy decision making aimed compare costeffectiveness alternative strategies prevent mtct hbv vietnam costutility using hybrid decisiontree markov model performed healthcare system societal perspectives preventive strategies included hbv universal vaccination hepatitis immunoglobulin hbig infants mothers hbeag hbig infants mothers hbsag tenofovir disoproxil fumarate tdf mothers high viral load mothers hbeag current practice hbv vaccine infants tdf high viral load mothers current practice dominant preventive strategies infants perspectives contrast strategies dominant current practice incremental net monetary benefit varying 3394 7064 healthcare system perspective 4422 9371 societal perspective addition hbig infants born mothers infected hbv tenofovir prophylaxis mothers positive hbeag costeffective strategy prevent vertical transmission hbv vietnam,10.1186/s12913-024-12152-z
hepatitis virus hbv infection remains major health challenge nigeria high prevalence rates among pregnant women prevalence overt occult hepatitis infection hbiov hbioc among pregnant women investigated understand burden associated risk factors population crosssectional conducted among 200 pregnant women sociodemographic collected blood samples screened hepatitis surface antigen hbsag hepatitis virus dna hbvdna using enzymelinked immunosorbent assay elisa real time polymerase chain reaction max eco system analyzed using graphpad prism software package social sciences ibm spss 230 level p005 considered statistically significant overall prevalence hepatitis infection 12200 comprising hbioc hbiov aged years predominantly married 895 urbandwelling 690 diverse educational levels occupations statistically significant differences demographic factors age marital status education hbioc hbiov groups however significant associations observed hbv infection risk factors including blood transfusion p001 cigarette exposure p003 alcohol consumption p001 viral load significantly higher hbiov group 484 log iuml iqr 400914 compared hbioc group 230 log iuml iqr 219300 p0001 reveal prevalence hepatitis infection among pregnant women overt occult infections emphasize need hbv dna testing screening protocols detect occult overt infections address key risk factors improve antenatal care prevention strategies,10.1186/s12879-024-10376-2
regular physical activity beneficial physical mental health however studies physical activity levels among middleaged elderly individuals china relatively scarce association different activity levels certain chronic diseases remains unclear using crosssectional 2020 china health retirement longitudinal charls describes prevalence chronic diseases examines associations physical activity selfreported presence fifteen chronic health conditions hypertension dyslipidemia diabetes cancer chronic lung diseases liver disease heart attack stroke kidney disease stomach diseases emotional mental issues memoryrelated diseases parkinsons disease arthritis rheumatism asthma total physical activity assessed selfreports using instruments similar international physical activity questionnaire ipaq multivariate logistic regression used estimate association chronic diseases china onesixth middleaged elderly individuals meet physical activity guidelines compared low individuals moderate associated lower prevalence four chronic diseases heart disease stroke emotional mental issues asthma high associated lower prevalence nine chronic diseases hypertension dyslipidemia diabetes cancer heart attack stroke emotional mental issues memoryrelated diseases asthma higher physical activity levels associated lower odds chronic diseases associations physical activity various chronic diseases inconsistent future employ experimental studies determine causal relationships physical activity prevalence different chronic diseases,10.1038/s41598-024-78360-z
following liver transplantation adequate nutrition essential malnutrition may contribute slower growth pediatric put risk complications following transplant avoidant restrictive food intake disorder arfid eating disorder characterized restrictive eating patterns compromise nutrition arfid may significant difficulty meeting nutritional needs due fear gastrointestinal distress making especially difficult manage following performed chart deidentified received institution two arfid undergone identified diagnoses courses post reported literature diagnosis arfid pediatric nutritional management pediatric performed irb required given sample size two per ucsf irb rules regulations present two unique cases arfid one onset prior one onset following outpatient psychiatry treatment essential nutritional management patient developed arfid following patient continues see dietitian given ongoing nausea limits oral intake receive psychiatric support arfid selective eating patterns rare notable occurrences pediatric may also underreported given novelty arfid prevalence gastrointestinal symptoms following transplant adds limited literature arfid children following major surgical procedures highlights importance interdisciplinary care importance nutritional management pediatric prior post,10.1111/petr.70014
racialethnic disparities previously reported renal hepatic disease care however acute kidney injury aki cirrhosis hepatorenal syndrome hrsaki despite complexity requiring multidisciplinary approach remains understudied identify unique associations sociodemographic factors mortality length stay los among hospitalised hrsaki hierarchical regression conducted along mediation estimate racerelated differences inhospital mortality influenced payer type area household income severity black demonstrated significantly higher odds inhospital mortality compared white counterparts adjusting sex age sex age payer type area household income sex age severity 116120 confidence intervals ci1 higher mortality rates among black partially mediated severity area household income proportion mediated 01890190192 016017018 respectively black hrsaki longer los white hispanic tended lower odds inhospital mortality 077086097 despite lower income severe illness nationwide demonstrated partly due higher severity lower household income black hrsaki experience higher inpatient mortality compared white hand hispanics hrsaki survival advantage awareness warranted address racial disparities hrsaki,10.1111/liv.16226
hepatitis infectious disease inflicts high health economic costs healthcare system poor adherence treatment increases cost aimed assess levels knowledge attitudes practices kap among west bank palestine identify factors associated good adherence conducted crosssectional surveying hepatitis visiting primary healthcare october 2022 june 2023 using intervieweradministered questionnaire covering qualitative quantitative aspects regarding hepatitis considered adherence good received monthly prescription antiviral doses among 386 median age 45years range 2081 good adherence treatment mean knowledge score 114 13point scale mean attitude score 4point scale mean practices score 7point scale mean overall kap score 218 24point scale kap components cronbach alpha0820 correlated good adherence p0001 adjustment factors good kap scores better adherence treatment without prevalence ratio 141 110184 pvalue0011 recommend investment education awareness campaigns improve adherence,10.1111/jvh.14055
hepatitis virus hev causes acute jaundice poses important public health problem low middleincome countries limited surveillance capacity suboptimal access diagnostics leads underreporting hev infections affected countries including nepal serum antibodies hev indicative past infection analyzed existing samples nationally representative serosurvey describe geospatial distribution factors associated hev seroprevalence nepal proxy infection methodologyprinciple nationally representative crosssectional serosurvey 3922 individuals years old 975 households spread across wards throughout nepal conducted november 2021 january 2022 biobanked samples tested antihev igg seroprevalence confidence interval estimated age sex ecological region municipality type waterbornedisease related risk factors bayesian geostatistical models fitted observed seroprevalence used generate highresolution maps seroprevalence across nepal available samples 3707 tested antihev igg 3703 used final found 208 195222 evidence prior hev infection hev seroprevalence increased age higher males 235 215255 females 186 169203 seroprevalence hilly 289 266312 mountain 246 188305 regions significantly higher terai 142 127158 significant difference urban rural populations predicted seroprevalence highest kathmandu capital nepal reaching seroprevalence selected area statistically significant differences found wealth quintile water source toilet facility provides populationbased serologic evidence hev endemic nepal greatest risk infection kathmandu,10.1371/journal.pntd.0012746
although dietary factors examined potential risk factors liver cancer evidence still inconclusive using dietwide association evaluated associations 126 foods nutrients risk liver cancer chinese population obtained diet consumption 72680 women shanghai womens health using baseline dietary questionnaires association food nutrient liver cancer risk quantified cox regression model false discovery rate 005 used determine foods nutrients need verified totally 256 incident liver cancer cases identified 1267391 personyears followup duration level 005 higher intakes cooked wheaten foods pear grape copper inversely associated liver cancer risk spinach leafy vegetables eggplant carrots showed positive associations considering multiple comparisons dietary variable associated liver cancer risk similar seen stratification secondary sensitivity analyses observed significant association dietary factors liver cancer risk considering multiple comparisons chinese women evidence needed explore associations diet female liver cancer occurrence,10.1017/jns.2024.86
investigated copper status relation abdominal obesity indices liver function nonalcoholic fatty liver disease nafld casecontrol carried overweightobese nafld apparently healthy age sex body mass index bmimatched controls validated reliable 168item semiquantitative food frequency questionnaire completed subject fasting serum levels liver aminotransferases ferritin ceruloplasmin assessed mean intakes energy carbophydrate significantly lower nafld control group mean protein intake highre p005 although mean intake greater cases controls low dietary intake found 325 cases controls respectively apart serum levels liver aminotransferases p0001 ferritin p0010 significant differences found serum levels ceruloplasmin serum dietary positively correlated obesity indices serum ceruloplasmin correlated waist height ratio ferritin cases p005 low intake 095 mgday likely increase odds nafld trend0002 adjusting potential confounders,10.1186/s13104-024-07025-x
metabolic dysfunctionassociated fatty liver disease mafld typical hepatic steatosis metabolic dysfunction composite dietary antioxidant index cdai individual antioxidant capacity relationship mafld received little attention goal explore association cdai mafld selected national health nutrition examination survey nhanes 2013 2020 cdai calculated basing six dietary antioxidants including zinc selenium carotenoids vitamins univariate regression multivariable logistic regression conducted evaluate correlation cdai mafld performed subgroup correlation various populations total 18163 including 13969 mafld 4194 nonmafld included cdai significantly negatively correlated mafld adjusting confounders including age gender race marital status poverty ratio education level drinking status smoking status physical activity individuals highest quartile cdai exhibited lower likelihood developing mafld lowest quartile or073 066 081 p0001 physical activity subgroup showed negative association significant moderateintensity physical exercise population model or072 058089 p0001 additionally changes vitamins independently associated mafld model or090 086093 p0001 found negative relationship higher cdai scores mafld provided new reference exploring dietary affect mafld reduce incidence,10.1186/s12876-024-03556-6
